"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"CL = 41"," -> ","VM = 0","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","7064.0","7.245128205128205","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 42"," -> ","VM = 9","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","4553.0","7.403252032520325","","9768.0","10.018461538461539","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 43"," -> ","VM = 8","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","4516.0","7.706484641638225","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 44"," -> ","VM = 10","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","5362.0","8.002985074626865","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 45"," -> ","VM = 3","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","7946.0","8.04251012145749","","8017.0","11.965671641791046","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 46"," -> ","VM = 2","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","4380.0","9.030927835051546",""
"CL = 47"," -> ","VM = 13","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","4310.0","9.035639412997904","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","6165.0","12.711340206185566",""
"CL = 48"," -> ","VM = 6","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","6691.0","9.165753424657535","","4554.0","9.16297786720322","","7002.0","14.679245283018869","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","6165.0","12.711340206185566",""
"CL = 49"," -> ","VM = 5","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","6691.0","9.165753424657535","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","6165.0","12.711340206185566",""
"CL = 50"," -> ","VM = 4","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","7453.0","9.269900497512438","","6165.0","12.711340206185566",""
