"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"227","SUCCESS","2","3","1.79","54.49","56.28","4"
"320","SUCCESS","3","12","2.7","53.72","56.42","4"
"246","SUCCESS","3","8","1.96","54.57","56.53","4"
"167","SUCCESS","3","13","4.12","52.41","56.53","4"
"201","SUCCESS","2","5","2.37","54.68","57.06","4"
"234","SUCCESS","3","10","4.22","52.93","57.15","4"
"270","SUCCESS","2","4","2.99","54.95","57.94","4"
"281","SUCCESS","2","1","3.26","54.79","58.05","4"
"241","SUCCESS","2","3","1.77","56.28","58.05","4"
"235","SUCCESS","3","11","4.66","53.61","58.27","4"
"336","SUCCESS","2","0","2.81","55.61","58.42","4"
"273","SUCCESS","3","7","2.5","56.16","58.66","4"
"174","SUCCESS","2","6","3.87","55.06","58.93","4"
"260","SUCCESS","3","8","2.98","56.53","59.51","4"
"334","SUCCESS","3","12","3.28","56.42","59.7","4"
"215","SUCCESS","2","5","3.59","57.06","60.65","4"
"295","SUCCESS","2","1","2.88","58.05","60.93","4"
"248","SUCCESS","3","10","3.81","57.15","60.96","4"
"284","SUCCESS","2","4","3.73","57.94","61.66","4"
"181","SUCCESS","3","13","5.51","56.53","62.04","4"
"255","SUCCESS","2","3","4.28","58.05","62.33","4"
"348","SUCCESS","3","12","2.78","59.7","62.47","4"
"229","SUCCESS","2","5","2.06","60.65","62.71","4"
"287","SUCCESS","3","7","4.13","58.66","62.78","4"
"188","SUCCESS","2","6","4.11","58.93","63.04","4"
"274","SUCCESS","3","8","3.59","59.51","63.09","4"
"249","SUCCESS","3","11","4.98","58.27","63.25","4"
"298","SUCCESS","2","4","2.22","61.66","63.89","4"
"309","SUCCESS","2","1","3.23","60.93","64.16","4"
"269","SUCCESS","2","3","2.21","62.33","64.54","4"
"202","SUCCESS","2","6","2.19","63.04","65.23","4"
"262","SUCCESS","3","10","4.33","60.96","65.28","4"
"195","SUCCESS","3","13","3.39","62.04","65.43","4"
"323","SUCCESS","2","1","1.63","64.16","65.78","4"
"301","SUCCESS","3","7","3.32","62.78","66.1","4"
"312","SUCCESS","2","4","2.73","63.89","66.62","4"
"288","SUCCESS","3","8","4.28","63.09","67.37","4"
"283","SUCCESS","2","3","3.27","64.54","67.81","4"
"315","SUCCESS","3","7","2.16","66.1","68.26","4"
"243","SUCCESS","2","5","5.59","62.71","68.3","4"
"276","SUCCESS","3","10","3.18","65.28","68.46","4"
"209","SUCCESS","3","13","3.15","65.43","68.57","4"
"263","SUCCESS","3","11","5.43","63.25","68.68","4"
"337","SUCCESS","2","1","2.96","65.78","68.75","4"
"297","SUCCESS","2","3","1.59","67.81","69.4","4"
"216","SUCCESS","2","6","4.99","65.23","70.21","4"
"277","SUCCESS","3","11","2.01","68.68","70.7","4"
"326","SUCCESS","2","4","4.11","66.62","70.73","4"
"257","SUCCESS","2","5","3.12","68.3","71.42","4"
"302","SUCCESS","3","8","4.36","67.37","71.73","4"
"329","SUCCESS","3","7","3.94","68.26","72.2","4"
"340","SUCCESS","2","4","1.98","70.73","72.72","4"
